n,timestamp,temp_c,distance_cm
1,2026-08-16T20:58:27.719Z,23.42,59.9
2,2026-08-16T20:58:28.718Z,23.82,58.0
3,2026-08-16T20:58:29.728Z,23.21,57.7
4,2026-08-16T20:58:30.728Z,22.22,58.8
5,2026-08-16T20:58:31.720Z,22.73,62.8
6,2026-08-16T20:58:32.728Z,22.85,61.1
7,2026-08-16T20:58:33.715Z,22.66,63.5
8,2026-08-16T20:58:34.729Z,21.72,61.7
9,2026-08-16T20:58:35.728Z,22.31,57.8
10,2026-08-16T20:58:36.729Z,21.90,58.7
11,2026-08-16T20:58:37.729Z,21.17,61.0
12,2026-08-16T20:58:38.729Z,22.17,61.1
13,2026-08-16T20:58:39.728Z,23.00,57.4
14,2026-08-16T20:58:40.728Z,23.55,57.4
15,2026-08-16T20:58:41.728Z,23.60,55.4
16,2026-08-16T20:58:42.728Z,24.16,57.4
17,2026-08-16T20:58:43.729Z,23.71,55.4
18,2026-08-16T20:58:44.729Z,23.17,54.0
19,2026-08-16T20:58:45.723Z,23.47,52.4
20,2026-08-16T20:58:46.728Z,23.00,56.1
21,2026-08-16T20:58:47.728Z,23.20,51.7
22,2026-08-16T20:58:48.729Z,23.66,47.2
23,2026-08-16T20:58:49.719Z,23.28,43.0
