n,timestamp,temp_c,distance_cm
1,2026-08-16T20:56:35.075Z,24.09,58.5
2,2026-08-16T20:56:36.078Z,24.65,55.3
3,2026-08-16T20:56:37.076Z,24.44,58.5
4,2026-08-16T20:56:38.082Z,25.38,61.2
5,2026-08-16T20:56:39.076Z,25.70,63.8
6,2026-08-16T20:56:40.072Z,25.45,68.7
7,2026-08-16T20:56:41.070Z,26.24,69.4
8,2026-08-16T20:56:42.083Z,25.75,67.3
9,2026-08-16T20:56:43.070Z,26.37,66.1
10,2026-08-16T20:56:44.074Z,26.66,61.4
11,2026-08-16T20:56:45.077Z,25.74,57.5
12,2026-08-16T20:56:46.080Z,26.63,53.8
13,2026-08-16T20:56:47.071Z,26.48,54.0
14,2026-08-16T20:56:48.084Z,27.22,51.2
15,2026-08-16T20:56:49.070Z,26.54,46.2
16,2026-08-16T20:56:50.072Z,26.81,49.1
17,2026-08-16T20:56:51.071Z,26.49,49.5
18,2026-08-16T20:56:52.071Z,26.37,49.4
19,2026-08-16T20:56:53.071Z,26.59,49.4
20,2026-08-16T20:56:54.071Z,25.88,47.8
21,2026-08-16T20:56:55.071Z,26.16,51.0
22,2026-08-16T20:56:56.070Z,26.80,50.3
23,2026-08-16T20:56:57.071Z,26.85,45.6
24,2026-08-16T20:56:58.071Z,27.37,49.7
25,2026-08-16T20:56:59.071Z,27.59,52.5
26,2026-08-16T20:57:00.070Z,26.64,55.5
27,2026-08-16T20:57:01.075Z,27.40,58.1
28,2026-08-16T20:57:02.078Z,28.04,56.3
